Gene,logFC,PValue,FDR,cKO_1,cKO_2,cKO_3,cKO_4,cKO_5,FL_1,FL_2,FL_3,FL_4
Erlin2,0.699308278,8.56E-11,3.33E-08,10.40557133,10.31363896,10.46674529,10.39057016,10.0058831,9.672159331,9.590463037,9.722904547,9.52021337
Syne3,0.697357694,5.21E-07,6.38E-05,12.09563145,11.92983195,11.79885369,12.07527684,11.73269664,11.2737842,11.31559712,11.27483457,10.57083776
Aif1l,0.696979341,2.22E-04,0.00735071,7.070281698,6.979162133,7.061099592,6.70191271,6.774658828,6.719623215,6.352216509,6.448695455,6.384304705
C77080,0.694694286,2.28E-04,0.007515375,7.468089224,7.141482061,7.211412755,7.064699838,6.912198237,6.920396921,6.399938782,6.57725826,6.718243385
Lpin3,0.693327923,2.14E-04,0.007131065,7.047583648,6.924139044,7.061099592,6.847071936,6.831839427,6.346923553,6.787658561,6.350630896,6.480291965
Grhl3,0.693164272,2.72E-04,0.008665438,6.487216191,6.633512689,6.394648605,6.234576773,6.257064992,5.974264508,5.857199134,6.174293099,5.710928216
Rab34,0.691365126,1.64E-04,0.005951346,7.227760731,7.198346131,7.482998415,6.93378291,7.090694507,6.51095711,6.942866621,6.653851188,6.718243385
Fos,0.690911129,3.92E-06,3.16E-04,9.038348582,9.314972821,8.915090596,9.429517877,8.764404258,8.3123797,8.26530124,8.660352747,8.451751226
Acsl6,0.688784871,1.27E-06,1.32E-04,8.098351332,8.036467905,8.20836126,7.796520852,7.924569569,7.667188974,7.480925967,7.414428817,7.362512532
Hsd17b7,0.68873821,1.87E-07,2.79E-05,10.06298186,9.831967199,9.826560042,9.993295309,9.416145403,9.191403338,9.208153466,9.225018143,8.930393395
Trp53cor1,0.686515489,7.30E-05,0.003092073,7.56922751,7.527533657,7.420455455,7.530266957,7.123272885,7.18288579,6.98161019,6.758448277,6.81842317
Lcn4,0.685567529,6.11E-08,1.07E-05,7.826423807,7.788923774,7.922616552,7.915055909,7.792884895,7.330129372,7.251888127,7.423735598,7.448750893
Pdgfrb,0.684091006,3.44E-04,0.01049412,6.833429897,6.469953017,6.64569898,6.44418066,6.10775398,6.019900785,6.00750937,6.206989995,5.871189572
Ero1l,0.683463015,1.28E-04,0.004850473,11.66204592,11.22161889,11.88829987,10.88834731,10.50432231,10.67067636,10.33482752,10.4330733,10.06934569
Rap1gap2,0.682707007,1.86E-07,2.79E-05,9.315340185,9.136325146,8.826918058,9.414469062,9.374240025,8.546324097,8.606080026,8.675118148,8.490685122
Qrfp,0.682520109,4.91E-04,0.013784371,6.487216191,6.423804491,6.608419317,6.466870231,6.35682388,6.264583821,5.913474195,6.174293099,5.929584598
Atp7b,0.682517581,1.35E-04,0.005030323,6.776189844,6.295280764,6.681582082,6.234576773,6.072965859,6.061752769,5.857199134,5.708899117,5.710928216
Slc20a2,0.681211101,4.11E-09,1.02E-06,9.486600709,9.405342164,9.448578318,9.53462807,9.382317265,8.853305384,8.927276834,8.941996821,8.469189269
Lsr,0.680455208,8.58E-06,6.02E-04,8.46682657,8.427491366,8.478540053,8.041321272,8.24328971,7.953246127,7.744980578,7.414428817,7.823782812
Ptk7,0.676118639,1.92E-04,0.006575471,7.838667231,7.724646214,7.542607385,7.387446129,7.195950777,7.194020285,7.168523329,6.83805573,6.802389587
Insr,0.675584372,2.93E-06,2.49E-04,9.690900152,9.490338524,9.518244012,9.56218132,9.368152003,8.875585616,9.070705887,8.97802037,8.318343119
Fam83g,0.673695381,3.31E-04,0.010193723,7.620561875,7.33472485,7.742681014,7.124925309,7.24527785,7.171646165,6.708684261,6.635277104,6.952802194
Dock3,0.672724385,4.85E-04,0.013643028,6.683821525,6.722903004,6.589210322,6.466870231,6.562361423,6.372486226,6.327209153,6.139823135,6.108906869
Zan,0.67242459,5.96E-04,0.015830762,6.926713771,6.820595018,6.318093011,6.666604299,6.562361423,6.264583821,6.187317197,6.401155331,6.069543045
Nos2,0.669180534,4.66E-04,0.013191733,6.563663201,6.633512689,6.529046345,6.320118395,6.140576422,5.707933766,6.121934527,6.103279532,5.980885137
Kcnh2,0.666401569,1.52E-05,9.13E-04,8.28167485,8.313783804,7.897439182,8.619109853,8.159545288,7.644179189,7.731248218,7.819647982,7.588918287
Il10ra,0.664762503,3.91E-09,9.86E-07,11.02825612,11.24373754,10.97300435,11.3398185,11.03179591,10.54832092,10.41713922,10.57313191,10.1673385
Cxcr5,0.660828064,2.94E-04,0.009205358,7.322304982,7.187188962,7.411262008,7.039701354,7.022644581,6.832473729,6.675261819,6.954181523,6.457312602
Klhl22,0.659814617,1.62E-10,5.66E-08,10.02609009,9.883067376,9.989542384,9.82989603,9.779007397,9.453988081,9.300398613,9.215015241,9.086947489
Cox11,0.659477344,6.95E-12,3.50E-09,9.713504863,9.677653277,9.660894842,9.518642039,9.629508202,9.147751871,8.909754738,8.905034718,9.136423923
Plekhg3,0.658281054,2.79E-06,2.40E-04,9.13518456,8.478940572,8.986533943,8.745682838,8.872132501,8.219707629,8.168964763,8.404621772,8.202581189
Micall2,0.657414897,3.74E-04,0.011191491,7.710838258,7.273674259,7.575465328,7.21529037,7.301933364,7.237550828,6.640652034,6.883077799,6.802389587
Armcx4,0.651528055,4.31E-05,0.002109822,10.78303468,10.20999225,10.56462046,10.10436735,9.857718845,9.780028728,9.51560626,9.735169829,9.267941595
Cxcl10,0.651519973,5.81E-04,0.015590224,6.926713771,7.141482061,7.354635073,6.961218959,7.195950777,6.630446946,6.861013477,6.758448277,6.27502863
Zfp449,0.651018941,2.16E-04,0.007188437,7.000785985,6.705664697,6.957817872,7.014142753,6.974904198,6.467291762,6.622866977,6.61633355,6.545789776
Irf6,0.6508021,6.79E-05,0.002942772,7.507941186,7.687535219,7.50888644,7.703827483,7.449626316,7.014768489,7.36709868,7.108378497,6.849773816
As3mt,0.650109493,8.67E-04,0.020499693,7.384406829,7.241964424,7.798573044,6.93378291,6.937710357,7.052907531,6.604740893,6.536446292,6.586934373
Notch3,0.647878434,NA,NA,7.384406829,6.705664697,6.843898413,6.800921391,6.789252042,6.753156326,6.246676517,6.267952019,6.27502863
Trim66,0.64744598,NA,NA,6.926713771,6.866201861,7.121212349,7.026993931,6.831839427,6.719623215,6.567394626,6.61633355,6.213534736
Sdc1,0.647444494,2.81E-04,0.008907743,7.832559559,7.392898101,7.910086769,7.289131336,7.311125631,7.12558837,7.078846727,6.940325226,7.097581001
Sh3tc1,0.646886268,2.46E-04,0.007974735,7.092541165,6.722903004,6.957817872,6.961218959,6.912198237,6.592317481,6.50832864,6.635277104,6.524493116
Arhgef10l,0.646042827,6.19E-04,0.01613456,6.334148822,6.102301173,6.232750909,6.292717774,6.10775398,5.79750013,5.962922352,5.86769505,5.801722886
Pear1,0.645522272,5.56E-10,1.72E-07,9.785365231,9.54299705,9.590393344,9.530648262,9.533153677,9.147751871,8.812457431,9.027538394,8.973452928
Cacna1i,0.645143761,6.37E-04,0.016416993,6.284288629,6.102301173,6.201809287,6.320118395,6.171718376,5.86603239,5.702805913,5.86769505,5.980885137
Celf5,0.644918252,3.29E-05,0.001663257,7.620561875,7.552832516,7.344941511,7.319456786,7.320249625,7.077645042,7.006711937,7.059258996,6.880225238
Aqp11,0.641321091,0.001057027,0.023412972,6.284288629,6.469953017,6.418601055,6.372103064,6.423952741,6.136990458,6.048404186,5.925560861,6.145775443
Zfp568,0.64101859,5.82E-05,0.002602088,9.579254594,9.123046635,9.355316483,9.334469615,8.914707051,8.919121685,8.642052986,8.599690736,8.149050751
Slc2a4,0.640329706,NA,NA,6.563663201,6.492117111,6.486560375,6.26424524,6.445148498,6.203875162,6.086369202,5.491007067,6.108906869
Mcf2l,0.640329505,0.001030638,0.023091724,7.697348231,7.031601476,7.676837671,6.831912445,6.698371879,6.832473729,6.708684261,6.425268945,6.358419267
Tirap,0.637565443,9.98E-04,0.022511568,8.677475809,8.070828256,8.722425124,7.883168043,7.457794689,7.838079757,7.329881624,7.495818335,7.192535439
Tirap,0.637565443,9.98E-04,0.022511568,8.677475809,8.070828256,8.722425124,7.883168043,7.457794689,7.838079757,7.329881624,7.495818335,7.192535439
Mirt1,0.635300977,3.60E-05,0.001802773,8.236944454,8.104344345,7.971602845,7.952350237,7.836207649,7.783530715,7.538227406,7.357085803,7.311888929
Rgs12,0.634339049,7.30E-12,3.54E-09,10.92230912,10.90354632,10.7252558,11.03628493,10.89862151,10.38519362,10.30187197,10.26830606,10.08754006
Casc4,0.634325053,3.61E-04,0.010948625,9.649626519,9.289085394,9.753773616,9.276155946,8.795161243,8.946419345,8.515786628,8.857433972,8.076183146
Ppp1r26,0.633054185,3.94E-04,0.011628522,6.819411648,6.895558103,6.782026449,6.862017803,6.759855072,6.489400114,6.622866977,6.401155331,6.384304705
Stc1,0.630847468,0.001189647,0.025515693,6.699822032,6.423804491,6.69904009,6.55209742,6.465819856,6.320480186,6.187317197,6.324079199,6.027133166
Rnf144a,0.629935242,3.44E-05,0.00173466,8.767381734,8.528562757,8.555467216,8.783225476,8.542604029,7.636418197,8.222780916,8.307789787,7.955871246
Lrrc75b,0.629850217,0.001230056,0.026057269,6.651011549,6.513728185,6.627242423,6.831912445,6.845659514,6.346923553,6.327209153,6.493680919,5.980885137
Ikzf2,0.629489704,1.39E-04,0.0051305,11.36324299,10.58518129,11.24942833,10.78638452,10.43346864,10.09213454,10.30076035,10.39939776,9.757552744
Sh3bgrl2,0.628387979,9.34E-04,0.021554134,6.715567471,6.534821164,6.69904009,6.611097425,6.64961398,6.372486226,6.422772299,6.296554337,6.108906869
Armcx1,0.627730568,4.57E-05,0.002186999,8.399743369,8.070828256,8.374891857,8.000526693,7.805407325,7.733889393,7.585383994,7.55570731,7.605411139
Cdc42bpg,0.627634555,1.60E-06,1.54E-04,10.12925187,9.873623581,9.565455579,9.722462843,9.94054732,9.4047544,9.273345616,9.217522551,8.955158588
Slc17a7,0.627355425,0.001192886,0.025515693,6.715567471,6.469953017,6.681582082,6.736003471,6.465819856,6.293068213,6.2176536,6.425268945,6.108906869
Trim7,0.62723127,6.36E-06,4.73E-04,7.807845265,7.781933949,7.798573044,7.612043693,7.632552585,7.359500065,7.394297675,7.108378497,7.259089118
Rassf4,0.626877501,9.86E-04,0.022388782,6.776189844,6.895558103,6.916484619,7.076997954,6.543876098,6.372486226,6.622866977,6.471484756,6.358419267
Grb7,0.626247398,8.16E-04,0.019537793,7.058988771,6.895558103,6.930435773,6.905644133,6.987030803,6.753156326,6.327209153,6.324079199,6.73564008
Lats1,0.626070056,2.65E-06,2.32E-04,11.14423937,10.84766347,10.81076008,10.83786628,10.53893322,10.18357674,10.33047681,10.30866827,9.792131011
Pla2g15,0.624108267,5.19E-09,1.24E-06,9.39954921,9.533019669,9.52622148,9.469584243,9.624416269,9.005264212,8.828107956,8.7362,9.117386851
Abhd1,0.622234056,1.88E-04,0.006487297,7.814066945,7.883115931,7.699153837,7.725802936,7.356085255,6.988609926,7.200468789,7.20083499,7.457977746
D430019H16Rik,0.621691366,4.55E-04,0.012973065,6.988777464,6.951992652,6.797842163,7.236851521,6.937710357,6.531997572,6.640652034,6.597001032,6.700537871
Cntnap1,0.621336529,0.001494013,0.029447203,8.067839869,7.475383249,8.047609037,6.891297244,7.165347934,7.22681511,6.955932022,6.724790521,6.545789776
Sort1,0.619988329,8.58E-04,0.02043475,7.717531737,7.50172501,7.85220976,7.309431347,7.254905634,7.388191854,6.888990744,6.9262924,6.802389587
